"","Document","Class"
"11","jeeves online ad revival jeeves third lead online search firm week revival internet advertising improve fortune firm revenue triple fourth quarter exceed lrb rrb jeeves bestknown web modest player profit quarter dwarf rival google earlier week quarter yahoo earn resurgence online advertising trend hold late year market company doubleclick lead provider online advertising warn business sale thursday sharp turnaround bring unexpected increase profit jeeve doubleclick thrill investor profit news case share fall analyst attribute fall excessive expectation quarter fuel dramatic outperformance google tuesday","business"
"12","indonesians face fuel price rise indonesia government confirm consider raise fuel price indonesians kerosene basic cooking price heavily subsidise year president susilo bambang yudhoyono government curb fuel subsidy direct money aid programme poor critic argue cut subsidy will hurt poorer family government help people leave homeless indonesia aceh region follow earthquake tsunami disaster late december indonesia pay subsidy importer order stabilise domestic fuel price higher oil price force government spend hold price spend trillion rupiah lrb bn bn rrb fuel subsidy sum excess original projection trillion rupiah president yudhoyono government power october indicate intention raise domestic fuel price cut subsidy lrb january march rrb quarter year best time increase fuel price sri mulyani indrawati state minister national development planning consider hike suitable moment sooner better state budget bbc correspondent jakarta rachel harvey business report strong public reaction price rise big question big short sharp shock raise price stagger indonesia previous government lead president megawati sukarnoputri attempt cut subsidy force face public protest","business"
"13","peugeot deal boost mitsubishi struggle japanese car maker mitsubishi motors strike deal supply french car maker peugeot sport utility vehicle lrb suv rrb firm sign memorandum understand expect seal final agreement spring alliance badlyneeded boost lossmaking mitsubishi profit warning poor sale suv will build japan peugeot diesel engine sell european market fall sale leave mitsubishi motors underused capacity production deal peugeot chance utilise january mitsubishi motors issue third profit warn month cut sale forecast year march sale slide year catalyse revelation company systematically hide record fault secretly repair vehicle result japanese car maker seek series financial bailout month bn yen lrb bn bn rrb fresh financial backing half company mitsubishi group usgerman carmaker daimlerchrylser shareholder mitsubishi motors decide april pump money deal peugeot celebrate mitsubishi newlyappointed chief executive takashi nishioka three top boss stand month shoulder responsibility firm trouble mitsubishi motors forecast net loss bn yen current financial year march month sign production agreement japanese rival nissan motor supply small car sale japan car nissan","business"
"14","telegraph newspaper axe job daily sunday telegraph newspaper ax journalist job editorial staff telegraph group cut fund investment printing facility journalist firm meet friday afternoon discuss react surprise announcement cut background fierce competition reader sluggish advertising revenue amid competition online advertising national union journalist call management recall notice redundancy midday monday face strike ballot pearson financial times week offer voluntary redundancy reporter national union journalist stand journalist rule strike manager tear agree procedure kick staff tooth sack people pay print facility jeremy dear nuj general secretary nuj official barry fitzpatrick company ignore day consultation period require company plan redundancy complete disregard consultative rights member fitzpatrick add company plan observe consultation procedure telegraph title currently employ journalist broadsheet newspaper move tabloid format suffer circulation decline hit revenue telegraph plan tabloid independent times circulation rise shrink size guardian hedge bet plan larger tabloid format popular continental europe telegraph group buy barclay twin frederick david year lord conrad black hollinger international brother currently mull sale business retailer littlewoods telegraph executive murdoch maclennan newspaper add colour coming month journalist lifeblood newspaper maintain quality daily telegraph sunday telegraph reader vital action improve production capability secure title competition vital newspaper invest printing machinery enable print colour case colour hope boost colour will publication attractive advertiser reader alike month news corp news international unit publish sun news guardian media group trinity mirror daily mail general trust substantial investment printing plant","business"
"15","air passenger win eu rights air passenger unable board flight overbooking cancellation flight delay demand greater compensation eu rule set compensation euro lrb rrb euro depend length flight rule will apply schedule charter flight include budget airline airline attack legislation force push price higher cover extra cost european commission face legal challenge european lowfare airlines association lrb elaa rrb international air transport association lrb iata rrb attack package bad piece legislation passenger claim euro euro board schedule flight operator oblige offer compensation case overbooking offer compensation flight cancellation eu decide increase passenger compensation bid deter airline deliberately overbook flight overbooking lead bump passenger move flight happen passenger will airline will offer compensation addition flight cancel delay hour fault airline passenger pay compensation airline offer compensation flight cancel delay extraordinary circumstance airline fear extraordinary circumstance include bad weather security alert strike event control eubased airline operator flight eu will adhere compensation regime force thursday lowcost airline criticise compensation level argue payout worth ticket preposterous piece legislation airline fight ryanair deputy chief executive michael cawley radio today programme european regions airline association lrb eraa rrb claim airline consumer consult change andy clarke eraa director air transport ec advice mislead customer lead airline liable payout flight delay bad weather ec spokeswoman marja quillinanmeiland concede grey area big airline case dispute national enforcement body decide passenger case technology easier airline land bad weather add eraa clarke warn airline comply rule extra cost pass passenger reckon cost european air passenger airline airline money pay passenger bn euro bn year load european passenger clarke basically transfer money passenger journey disrupt passenger journey disrupt wednesday jacques barrot vice president european commission commissioner transport change boom air travel accompany proper protection passenger concrete example union benefit people daily life add ec launch campaign airport travel agency inform airline passenger rights","business"
"16","china tight rein credit china effort economy overheate clamp credit will continue state media report curb introduce earlier year ward risk rapid expansion lead soar price fear stress place fragile banking system growth china remain breakneck corporate investment grow year breakneck pace economic expansion growth year rapid toolingup china manufacturing sector massive demand energy factor oil price skyhigh year theory government growth target continue insist overshoot hard landing shape overbalancing economy low exchange rate china yuan peg rate dollar relentless decline chinese export cheap market china resist international pressure break link shift level peg extent credit control industrial output grow year october february inflation slow retail sale boom","business"
"17","parmalat boast double profit parmalat italian food group centre europe painful corporate scandal report double profit pretax earnings fourth quarter euro lrb rrb period news firm fine euro violate takeover rule year ago firm seek bankruptcy protection december disclose bneuro hole account company debt close bn euro fall slowly brand wellknown italy overseas continue perform barely lose revenue scandal break crucial factor company future legal unwind intensely complex financial position tuesday company administrator turnaround expert enrico bondi sue morgan stanley banker return euro relate bond deal bring number bank bondi sue mass legal action bring bn euro company sue auditor financial advisor damages criminal case company management proceed separately","business"
"18","india rupee hit fiveyear high india rupee hit fiveyear high standard poor lrb sp rrb raise country foreign currency rating rupee climb dollar thursday close currency gain three session sp rate borrower creditworthiness lift india rating notch bb indian asset gamble cash expect flow market buoy rupee upgrade positive basically people will excuse india bhanu baweja strategist ubs money move india three week january market korea thailand upgrade lead reversal india foreign currency rating notch investment grade start bbb increase level romania egypt el salvador level russia","business"
"19","india widen access telecom india raise limit foreign direct investment telecom company communications minister dayanidhi maran fund fastgrowing mobile market government hope increase number mobile user bn lrb bn rrb investment foreign direct investment maran decision raise limit foreign investor face considerable opposition communist party crucial support coalition head prime minister manmohan singh potential foreign investor will government approval increase stake maran key position chief executive chief technology officer chief financial officer hold indians add analyst investor government decision positive development carrier investment community longerterm view huge growth indian telecom market gartner principal analyst kobita desai fdi relaxation couple rapid local market growth ignite interest indian telecommunication industry add ernst young sanjay mehta investment bank morgan stanley forecast india mobile market grow year indian mobile market currently dominate company bharti televentures ally singapore telecom essar link hong kongbased hutchison whampoa sterling group tata group","business"
"20","call centre user lose patience customer call centre impatient quicker hang survey message caller average hang seconds listen canned music drop patience number call call centre grow rate year customer idea society cara diemont firm dimension data commission survey call centre sharp increase customer simply abandon call record year automate phone message system equation customer pick multiple option message number abandon call higher sixth caller wait reason lack patience ms diemont fact customer call move mobile phone surge customer call centre reflection centre grow range task call centre mortgage agent responsible credit card insurance current account diemont problem occur increase responsibility handinhand training survey find dimension data call alarming development average induction time call centre worker fall year day leave agent equip deal customer ms diemont warn scary good bottom poor training frustrate call centre worker customer result call centre high churn rate quarter worker throw towel year turn force company pay train staff resolution rate number call customer query resolve mutual satisfaction query pass second third person specialist manager rate rise well industry target resolution rate suggestion outsourcing relocate call centre lowcost country india south africa blame wrong ms diemont big difference wait time call resolution call centre base europe north america develop country call centre perform good management process place company decide offshore operation drive cost consideration save money main consideration close domestic call centre operation half argue worker country offer better skill money outsourcing offshoring solution twothird firm poll survey plan offshore call centre three key reason move call centre operation business core function worry risk abroad fear will damage brand join offshoring drive survey conduct sunovate behalf dimension data base indepth questionnaire call centre country continent experience call centre happy listen vivaldi greensleeves response work call centre training prepare job","business"
"21","rank set sell film unit leisure group rank unveil plan demerge film service unit sell media business report claim rank famous carry series will expose shakeup announcement result friday sunday telegraph report advisors goldman sachs understand demerged deluxe film unit report add speculation shakeup mount rank study demerger september mike smith appointment chief executive group focus fewer business embark major costcutting programme dispose number business include odeon cinema chain pinewood studio move leave group three core division gaming hard rock deluxe film provide technical service hollywood studio rank aim concentrate gaming bar hotel business include extend hard rock brand casino trial success deluxe media distribute dvd video business successful year profit turnover expert success move dvd vhs video attractive target private equity buyer spokesman firm refuse comment report result demerger study set unveil result friday analyst predict firm report slight drop annual pretax profit year form firm lead uk film producer cinema owner year diversify range leisure activity uk include hotel roadside service area holiday centre grosvenor casino mecca bingo chain hard rock cafes country","business"
"22","sluggish economy hit german job number people work europe largest economy rise tenth straight month growth remain stubbornly slow german unemployment rise november people workforce seasonally adjust rise smaller rise expect government measure encourage job creation official stagnant growth stifle job market clear sign revival domestic demand frankjuergen weise head federal labour agency statement growth third quarter insufficient deliver positive momentum labour market high oil price soar euro damage competitiveness exporter negative brunt unemployment feel eastern germany rate unemployment stick year government chancellor gerhard schroeder job creation top agenda controversial package measure shake incentive work pay cut cherish benefit spark anger german worker strike number industry notably country iconic carmaker demonstrate displeasure well fear job loss outsourcing hold initiative socalled oneeuro job top unemployment benefit scheme formal launch january hiring position place affect unemployment statistics economist deterioration labour market surprise isabelle kronawitter hypovereinsbank job creation measure prevent stronger increase seasonally adjust number","business"
"23","mixed signal french economy french economy pick speed official figure set fall short government hope accord state statistics body insee growth three month december seasonallyadjusted ahead forecast confirm best quarterly early leave gdp full year short french government predict despite apparent shortfall annual economic growth good quarterly figure socalled flash estimate mark continue trend improve indicator health french economy government reiterate target european central bank positive noise nation eurozone friday france industrial output december release growth number good david naude economist deutsche bank send positive signal rebound output open continuation trend year service sector activity improve january hit sevenmonth high unemployment remain high","business"
"24","trade gap hit record gap export import hit alltime high bn lrb bn rrb latest figure commerce department trade deficit year previous record imbalance bn deficit china bn largest record single country monthly basis trade gap narrow december bn consumer appetite thing oil import car wine cheese reach record level year figure spark fresh criticism president bush economic policy democrats claim administration clamp unfair foreign trade practice example china currency policy manufacturer claim undervalue yuan china rapidly expand economy unfair advantage competitor bush administration argue deficit reflect fact america grow faster rate rest spur demand import goods economist allow upward revision economic growth fourth quarter point deficit reach astronomical proportion foreigner choose hold dollardenominated asset turn harm growth export rise trillion import rise faster record trillion foreign oil export surge record bn reflect rally global oil price increase domestic demand import affect dollar weakness year expect deficit continue widen dollar downward trend economist mariepierre ripert ixis","business"
"25","yukos lose bankruptcy battle judge dismiss attempt russian oil giant yukos gain bankruptcy protection yukos file chapter protection houston unsuccessful attempt halt auction yugansk division russian authority court ruling blow effort damages sale yugansk yukos claim illegally sell separately yukos boss mikhail khodorkovsky testimony friday trial fraud tax evasion khodorkovsky jail year plead guilty charge bring deny involvement criminal activity pride head year number successful company help enterprise rise knee russian court yugansk auction help pay bn lrb bn rrb unpaid tax buy bn previouslyunknown group turn buy statecontrolled oil company rosneft texas judge letitia clark yukos presence establish jurisdiction vast majority business financial activity yukos continue occur russia judge clark ruling activity require continued participation russian government yukos argue court entitle declare bankrupt yugansk unit sell local bank account chief finance officer bruce misamore live houston yukos claim seek help forum russian court european court human rights unfriendly offer protection russia indicate case abide ruling court ruling judge acknowledge appear agency russian government manner consider confiscatory united states law role simply decide jurisdiction court jurisdiction challenge deutsche bank gazpromneft unit russian gas monopoly gazprom merge rosneft analyst ability gazprom rosneft trade freely overseas stifle ownership yugansk remain unclear yukos consider option light ruling claim court argument key issue merit case strong simple chief executive steven theede asset illegally seize damage pay","business"
"26","safety alert gm recall car biggest carmaker general motors lrb gm rrb recall vehicle safety grounds accord federal regulator national highway traffic safety administration lrb nhtsa rrb largest recall involve pickup van sport utility vehicle lrb suv rrb malfunction brake system vehicle product recall model year gm vehicle potential fault chevrolet avalanche express kodiak silverade suburban gmc savana sierra yukon nhtsa pressure accumulator brake system crack normal driving fragment injure people hood open allow hydraulic fluid leak harder brake steer crash warn gm recall cadillac xlr coupe srx suv pontiac grand prix sedan model year accelerator pedal work properly extremely cold temperature require brake addition car giant call buick raniers chevrolet trailblazers gmc envoys isuzu ascenders model year windshield properly fit fall crash gm stress injury relate problem news recall follow announcement month gm expect earnings year lower biggest car maker grapple loss european business weak sale product recall january gm higher healthcare cost north america lower profit financial service subsidiary hurt performance","business"
"27","steel firm cut job mittal steel largest steel producer cut job year chief executive netherlandsbased company complete bn acquisition firm isg month largest global firm kind lakshmi mittal investor combined company will job indianborn magnate job loss fall mittal investor acquisition international steel group complete company aim reduce workforce annually workforce trim staff invest modernisation employee will mittal conference chicago mittal steel form year mittal lnm holdings merge dutch firm ispat combination mittal steel isg annual sale bn lrb bn bn euro rrb production capacity tonne mittal steel spokeman decision job cut create sustainable steel industry invest technology spokesman mittal steel operation country business eastern europe state huge workforce employ staff kazakhstan large operation romania czech republic south africa united states","business"
"28","strong demand trigger oil rally crude oil price surge barrel mark thursday energy market watchdog raise forecast global demand international energy agency lrb iea rrb warn demand opec crude quarter outstrip supply iea raise estimate oil demand growth barrel day barrel day light crude rise brent crude london gain parisbased iea watchdog advise industrialize nation energy policy upward revision stronger demand china asian country fresh rally crude price follow gain wednesday trigger large fall crude supplies follow cold spell north america january department energy report crude stockpile fall barrel top ongoing problem beleaguered russian oil giant yuko prompt iea revise output estimate russia major nonopec supplier price set range level energy analyst orin middleton barclays capital","business"
"29","uk firm face venezuelan land row venezuelan authority will seize land british company president chavez agrarian reform programme official cojede state friday farmland subsidiary vestey group settle poor farmer government crack socalled latifundio large rural estate lie idle vestey group inform planned seizure firm agroflora subsidiary operate farm venezuela insist comply fully venezuelan law prosecutor south country target hato el charcote beef cattle ranch agroflora accord reuters plan seize acre lrb hectare rrb acre lrb hectare rrb farm official claim agroflora possess valid document prove ownership land question allege area ranch form active production legal boundary match actual boundary surplus state prosecutor alexis ortiz reuters consequence government action controversial reform pass government control private property declare idle ownership trace century critic power president chavez argue help country poorest citizen develop venezuelan economy trample private property rights vestey group land cooperate fully authority spokesman add agroflora absolutely confident submit will demonstrate legality title land company point farm employ worker provide meat solely venezuelan market month government identify idle farm consider status authority landowner title order farm productive fear president chavez venezuelan government steadily expand state involvement country economy mining contract involve foreign firm examine ensure provide sufficient economic benefit state","business"
"30","soar oil hit economy soar cost oil hit global economic growth major economy weather storm price rise accord oecd latest biannual report oecd cut growth prediction main industrialised region growth reach fall year previous estimate oecd parisbased economics tank global economy regain momentum forecast japanese growth scale year outlook worst member eurozone bloc sluggish growth forecast slip year oecd report forecast total growth member country oecd slip year recover good reason despite oil price turbulence economy will regain momentum nottoodistant future jeanphilippe cotis oecd chief economist price crude higher start record high set late october dip oil price improve job prospects improve consumer confidence spending oecd oil shock enormous historical standard worse seventy oil price rise shock absorb quarter vincent koen senior economist oecd bbc business report recovery underway interrupt bit oil shock year regain momentum course china booming economy spectacular comeback japan albeit falter month help economic recovery oecd support strong balance sheet high profit recovery business investment continue north america start earnest europe add report warn remain continental europe will play strong supportive role marked upswing final domestic demand oecd highlight current depressed household expenditure germany eurozone overreliance exportled growth","business"
"31","irish market reach alltime high irish share rise record high investor persuade buy market low inflation strong growth forecast iseq lead share close point thursday fuel strong growth banking financial stock fall rate inflation january fresh boost share advance month economy set strong growth interest rate remain low ireland biggest company market hit high thursday allied irish bank ireland biggest company capitalisation touch year peak bank ireland share rise highest level august telecom firm eircom reveal reenter irish mobile phone market hit yearly high analyst economic condition benign irish share trade discount european market ireland tick box international investor concern roy asher chief investment officer hibernian investment managers reuters buoyant economic condition set continue ireland year irish equity continue offer quality growth reasonable valuation bernard mcalinden head equity ncb stockbroker equity represent good compare investment good reuters good economic datum ireland benefit financial stock ireland economic miracle enjoy second wind growth forecast economy cool markedly enjoy spectacular growth bounce growth expect","business"
"32","japanese banking battle japan sumitomo mitsui financial withdraw takeover offer rival bank ufj holdings enable merge mitsubishi tokyo sumitomo boss counterpart ufj decision friday clear conclude trillion yen lrb bn rrb deal mitsubishi deal create biggest bank asset trillion yen lrb trillion rrb sumitomo exit high profile fight japanese bank history ufj holdings japan fourthlargest bank centre fierce bid battle year sumitomo japan thirdlargest bank table higher offer ufj rival company bn ufj management prefer offer mitsubishi tokyo financial group lrb mtfg rrb japan secondlargest bank concern raise sumitomo ability absorb ufj admit defeat market investor accept ufjmtfg merger sumitomo statement ongoing integration ufj mtfg operation persist proposal best interest shareholder ufj mitsubishi takeover ufj will japan largestever takeover deal will approve shareholder firm expect formality sumitomo turn attention deepen tie daiwa securities japanese financial firm set merge venture capital operation speculation lead fullblown merger japanese bank increasingly seek alliance boost profit","business"
"33","rich grab half colombia poor fund half money colombian government help country poor benefit people study find total trillion peso lrb bn bn rrb earmark subsidy poor government department planning find trillion peso richest population sound distribution cash cut poverty level government resources reduce poverty tax reform better distribution deputy planning director jose leibovich colombia population half live poverty large property pay tax situate inside poor area benefit cheaper utility electricity water government find government expenditure area pension public service education property health revise leibovich add government examine report warn easy solution problem good distribution subsidy economic growth poverty fall low","business"
"34","rover deal cost job job rover midlands plant cut investment firm chinese car maker ahead financial times report shanghai automotive industry corp plan shift production rover china export uk source close negotiation ft rover bbc news report job cut speculation tieup rover chance save longbridge plant push uk chancellor gordon brown rover confirm tieup place time rover boss confident bn lrb bn rrb investment deal sign march early april transport general worker union general secretary tony woodley repeat view friday merger lead job cut investment model ensure future birmingham plant crucial delicate time effort target secure model company will job people saic money will pay owner rover accuse union award exorbitant salary ft report saic extremely concern ensure money invest business distribute shareholder newspaper quote source close chinese firm accord chinese state press report small stateowned carmaker nanjing auto negotiation rover saic stake joint venture saic unavailable comment job cut contact bbc news rover saic sign technologysharing agreement august","business"
"35","ad firm wpp profit surge uk advertising giant wpp post largerthanexpected annual profit predict will outperform market pretax profit rise year ago reach lrb bn rrb ahead average analyst forecast revenue bn firm operating margin reach year wpp buy rival grey global create giant big rival sector leader omnicom chief executive martin sorrell friday reuters news agency wpp submit proposal united business media nop market unit analyst unit sell sell wpp year buy firm ogilvy mather cordiant communications include firm young rubicam walter thompson event olympics help boost wpp profit company congressional election fifa cup advertising opportunity future longterm outlook favourable media technology development strength economy wpp","business"
"36","foreign firm extra time foreign firm extra year meet tough corporate governance regulation impose stock market watchdog securities exchange commission extend deadline rule july foreign firm protest impose unfair burden rule result sarbanesoxley cleanup corporate scandal enron worldcom sox legislation nickname call firm certify financial reporting rule big firm meet requirement smaller foreignbased firm list share stock market originally middle year month delegation european business leader head washington dc headquarters protest burden expensive timescale short uk cbi warn company choose listing drop latest delegation cbi meet official wednesday decision relax deadline signify change heart cbi directorgeneral sir digby jones bbc today programme listen overseas company remind america globalisation rule isolation consideration fact foreign company work meet onerous financial reporting rule country european union impose international financial reporting standard note underestimate effort lrb compliance rrb will require extension will provide additional time issuer good hard internal control donald nicolaisen chief accountant","business"
"37","japanese mogul arrest fraud japan bestknown businessman arrest thursday charge falsify shareholder sell share base false datum yoshiaki tsutsumi rank richest man business span hotel railway construction baseball team latest series arrest top executive japan business scandal van prince hotel tokyo time tsutsumi untouchable inherit large property business father japan powerful industrialist close connection country lead politician wealth influence bring winter olympic games nagano year force resign post hold business empire accuse falsify shareownership structure seibu railways company japanese stock market rule list company largest shareholder tsutsumi face criminal charge possibility prison sentence biggest shareholder amount seibu railways delist stock exchange share plunge target takeover bid tsutsumi fall grace follow arrest top executive japan authority curb murky business practice widespread japanese company determination stay top cost root childhood illegitimate third son rich father money buy property japan rebuilt war ii describe demand father feel enormous pressure dine pain tsutsumi weekly magazine scold pour soy sauce fruit child silk futon luxury corporate governance issue japanese company year twelve manager mitsubishi motors charge cover safety defect vehicle three executive japan troubled ufj bank charge conceal extent bank bad loan","business"
"38","deutsche telekom mobile gain german telecom firm deutsche telekom strong fourth quarter profit upbeat mobile earnings betterthanexpected asset sale net profit bn euro lrb bn rrb dramatic change loss euro sale rise bn euro sale stake firm include russia oao mobile telesystems raise bn euro expect help bring debt bn euro year ago debt bn euro higher tmobile usa company american mobile business strong contribution profit seminal achievement cut debt low head room invest growth hannes wittig telecom analyst dresdner kleinwort wasserstein company resume pay dividend year focus cut debt","business"
"39","chinese wine tempt italy illva italy illva saronno agree buy changyu largest wine maker china changyu statement shenzhen stock exchange illva will pay yuan lrb rrb government approve deal italian liqueur maker will acquire share yantai state asset management bureau chinese wine sale grow agriculture department wine sale bn yuan china encouraging stateowned company sell share foreign investor anheuserbusch heineken scottish newcastle invest chinese beer industry year illva saronno bet chinese wine market yantai state asset management bureau government agency northeastern city yantai changyu state agency will sell stake changyu overseas company remain will retain yantai city government consumption wine china low litre capita agriculture department compare litre france litre three litre japan","business"
"40","umbro profit lift euro uk sportswear firm umbro post rise annual profit sale replica england football kit boost euro tournament pretax profit lrb rrb umbro lose sponsorship deal chelsea celtic thursday sign fouryear agreement scottish club rangers hope sale will benefit launch england replica shirt ahead cup january umbro sponsorship agreement chelsea umbro lucrative replica shirt year earlier expect firm receive payment chelsea appraise number additional investment opportunity result compensation chief executive peter mcguigan firm plan grow sale uk internationally firm report annual result list london stock exchange june uk market sale growth year launch evolution fashion range boost sale umbro supply team include national side ireland sweden norway share umbro pence morning trade","business"
